Category	Start	End
Before School	12:00 AM	8:00 AM
Period 1	8:00 AM	8:37 AM
Passing 1 to 2	8:37 AM	8:41 AM
Period 2	8:41 AM	9:18 AM
Passing 2 to 3	9:18 AM	9:22 AM
Period 3	9:22 AM	9:59 AM
Passing 3 to 4	9:59 AM	10:03 AM
Period 4	10:03 AM	10:40 AM
Passing 4 to 5	10:40 AM	10:44 AM
Period 5	10:44 AM	11:21 AM
Passing 5 to 6	11:21 AM	11:25 AM
Period 6	11:25 AM	12:02 PM
Passing 6 to 7	12:02 PM	12:06 PM
Period 7	12:06 PM	12:43 PM
Passing 7 to 8	12:43 PM	12:47 PM
Period 8	12:47 PM	1:24 PM
Passing 8 to 9	1:24 PM	1:28 PM
Period 9	1:28 PM	2:05 PM
Passing 9 to 10	2:05 PM	2:09 PM
Period 10	2:09 PM	2:46 PM
Teacher Conferences	2:50 PM	3:30 PM
After School	3:30 PM	11:59 PM
