Category	Start	End
Before School	12:00 AM	8:00 AM
Period 1	8:00 AM	8:40 AM
Passing 1 to 2	8:40 AM	8:44 AM
Period 2	8:44 AM	9:23 AM
Passing 2 to 3	9:23 AM	9:27 AM
Period 3	9:27 AM	10:06 AM
Passing 3 to Homeroom	10:06 AM	10:10 AM
Homeroom	10:10 AM	10:32 AM
Passing Homeroom to 4	10:32 AM	10:36 AM
Period 4	10:36 AM	11:15 AM
Passing 4 to 5	11:15 AM	11:19 AM
Period 5	11:19 AM	11:58 AM
Passing 5 to 6	11:58 AM	12:02 AM
Period 6	12:02 AM	12:41 PM
Passing 6 to 7	12:41 PM	12:45 PM
Period 7	12:45 PM	1:24 PM
Passing 7 to 8	1:24 PM	1:28 PM
Period 8	1:28 PM	2:07 PM
Passing 8 to 9	2:07 PM	2:11 PM
Period 9	2:11 PM	2:50 PM
Passing 9 to 10	2:50 PM	2:55 PM
Period 10	2:55 PM	3:35 PM
After School	3:35 PM	11:59 PM
