Category	Start	End
Before School	12:00 AM	8:00 AM
Period 1	8:00 AM	8:40 AM
Passing 1 to 2	8:40 AM	8:45 AM
Period 2	8:45 AM	9:25 AM
Passing 2 to 3	9:25 AM	9:29 AM
Period 3	9:29 AM	10:09 AM
Passing 3 to Homeroom	10:09 AM	10:13 AM
Homeroom	10:13 AM	10:25 AM
Passing Homeroom to 4	10:25 AM	10:30 AM
Period 4	10:30 AM	11:10 AM
Passing 4 to 5	11:10 AM	11:14 AM
Period 5	11:14 AM	11:54 AM
Passing 5 to 6	11:54 AM	11:58 AM
Period 6	11:58 AM	12:38 PM
Passing 6 to 7	12:38 PM	12:42 PM
Period 7	12:42 PM	1:22 PM
Passing 7 to 8	1:22 PM	1:26 PM
Period 8	1:26 PM	2:06 PM
Passing 8 to 9	2:06 PM	2:10 PM
Period 9	2:10 PM	2:50 PM
Passing 9 to 10	2:50 PM	2:55 PM
Period 10	2:55 PM	3:35 PM
After School	3:35 PM	11:59 PM
