Category	Start	End
Before School	12:00 AM	8:00 AM
Period 1	8:00 AM	8:41 AM
Passing 1 to 2	8:41 AM	8:45 AM
Period 2	8:45 AM	9:26 AM
Passing 2 to 3	9:26 AM	9:31 AM
Period 3	9:31 AM	10:15 AM
Passing 3 to 4	10:15 AM	10:20 AM
Period 4	10:20 AM	11:01 AM
Passing 4 to 5	11:01 AM	11:06 AM
Period 5	11:06 AM	11:47 AM
Passing 5 to 6	11:47 AM	11:52 AM
Period 6	11:52 AM	12:33 PM
Passing 6 to 7	12:33 PM	12:38 PM
Period 7	12:38 PM	1:19 PM
Passing 7 to 8	1:19 PM	1:24 PM
Period 8	1:24 PM	2:05 PM
Passing 8 to 9	2:05 PM	2:09 PM
Period 9	2:09 PM	2:50 PM
Passing 9 to 10	2:50 PM	2:54 PM
Period 10	2:54 PM	3:35 PM
After School	3:35 PM	11:59 PM
