Date	School	Cycle	Schedule	Testing	Events
2022-09-08	True	A	Homeroom	None	Start of MP1
2022-09-09	True	B	Homeroom	None	None
2022-09-10	False	None	None	None	None
2022-09-11	False	None	None	None	None
2022-09-12	True	A	Regular	None	None
2022-09-13	True	B1	Regular	None	None
2022-09-14	True	A1	Regular	None	None
2022-09-15	True	B2	Regular	None	None
2022-09-16	True	A2	Regular	None	None
2022-09-17	False	None	None	None	None
2022-09-18	False	None	None	None	None
2022-09-19	True	B	Regular	Science	None
2022-09-20	True	A1	Regular	Science	SLT Meeting
2022-09-21	True	B1	Regular	World Languages, English Language Arts, Health	None
2022-09-22	True	A2	Regular	Mathematics, Music, Art	None
2022-09-23	True	B2	Regular	Computer Science, Social Studies, Technology	None
2022-09-24	False	None	None	None	None
2022-09-25	False	None	None	None	None
2022-09-26	False	None	None	None	Rosh Hashanah
2022-09-27	False	None	None	None	Rosh Hashanah
2022-09-28	True	A	Regular	Science	None
2022-09-29	True	B2	Regular	Mathematics, Music, Art, Technology	None
2022-09-30	True	A2	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2022-10-01	False	None	None	None	None
2022-10-02	False	None	None	None	None
2022-10-03	True	B1	Regular	Science	None
2022-10-04	True	A1	Homeroom	World Languages, English Language Arts, Health	None
2022-10-05	False	None	None	None	Yom Kippur
2022-10-06	True	B2	Regular	Mathematics, Music, Art	None
2022-10-07	True	A2	Regular	Computer Science, Social Studies, Technology	None
2022-10-08	False	None	None	None	None
2022-10-09	False	None	None	None	None
2022-10-10	False	None	None	None	Heritage Day
2022-10-11	True	B	Regular	Science	None
2022-10-12	True	None	PSAT	None	PSAT Exam Academic Screener
2022-10-13	True	A1	Regular	Mathematics, Music, Art, Technology	None
2022-10-14	True	B1	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2022-10-15	False	None	None	None	None
2022-10-16	False	None	None	None	None
2022-10-17	True	A	Regular	Science	None
2022-10-18	True	B1	Regular	Social Studies, Technology	None
2022-10-19	True	A1	Conference	World Languages, English Language Arts, Computer Science, Health	Faculty Meeting
2022-10-20	True	B2	Regular	Mathematics, Music, Art	End of MP1
2022-10-21	True	A2	Regular	Computer Science, Social Studies, Technology	None
2022-10-22	False	None	None	None	None
2022-10-23	False	None	None	None	None
2022-10-24	True	B	Regular	Science	None
2022-10-25	True	A1	Regular	Science	None
2022-10-26	True	B1	Conference	World Languages, English Language Arts, Health	Department Meeting
2022-10-27	True	A2	Regular	Mathematics, Music, Art	Grades due 8 am
2022-10-28	True	B2	Regular	Computer Science, Social Studies, Technology	None
2022-10-29	False	None	None	None	None
2022-10-30	False	None	None	None	None
2022-10-31	True	A	Extended Homeroom	Science	Report Cards
2022-11-01	True	B1	Regular	Science	None
2022-11-02	True	A1	Regular	Mathematics, Music, Art, Technology	None
2022-11-03	True	B2	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2022-11-04	True	A2	None	Computer Science, Social Studies, Technology	None
2022-11-05	False	None	None	None	None
2022-11-06	False	None	None	None	None
2022-11-07	True	B	Regular	Science	None
2022-11-08	False	None	None	None	Election Day, Chancellor's Conference Day for Staff Development
2022-11-09	True	A2	Regular	Mathematics, Music, Art, Technology	None
2022-11-10	True	B2	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2022-11-11	False	None	None	None	Veterans Day
2022-11-12	False	None	None	None	None
2022-11-13	False	None	None	None	None
2022-11-14	True	A1	Regular	Science	None
2022-11-15	True	B1	Regular	World Languages, English Language Arts, Health	None
2022-11-16	True	A2	Regular	Mathematics, Music, Art	None
2022-11-17	True	B2	PTC	Computer Science, Social Studies, Technology	Parent-Teacher Conferences
2022-11-18	True	A	PTC	None	Parent-Teacher Conferences
2022-11-19	False	None	None	None	None
2022-11-20	False	None	None	None	None
2022-11-21	True	B	Regular	Science	None
2022-11-22	True	A1	Regular	Mathematics, Music, Art, Technology	None
2022-11-23	True	B1	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2022-11-24	False	None	None	None	Thanksgiving
2022-11-25	False	None	None	None	Thanksgiving
2022-11-26	False	None	None	None	None
2022-11-27	False	None	None	None	None
2022-11-28	True	A	Regular	None	None
2022-11-29	True	B1	Regular	Science	None
2022-11-30	True	A1	Regular	Mathematics, Music, Art	None
2022-12-01	True	B2	Regular	World Languages, English Language Arts, Health	None
2022-12-02	True	A2	Regular	Computer Science, Social Studies, Technology	End of MP2
2022-12-03	False	None	None	None	None
2022-12-04	False	None	None	None	None
2022-12-05	True	B	Regular	Science	None
2022-12-06	True	A1	Homeroom	Science	None
2022-12-07	True	B1	Conference	Mathematics, Music, Art	None
2022-12-08	True	A2	Regular	World Languages, English Language Arts, Health	None
2022-12-09	True	B2	Regular	Computer Science, Social Studies, Technology	Grades due 8 am
2022-12-10	False	None	None	None	None
2022-12-11	False	None	None	None	None
2022-12-12	True	A	Regular	Science	None
2022-12-13	True	B1	Regular	Science	Report Cards
2022-12-14	True	A1	Regular	Mathematics, Music, Art	None
2022-12-15	True	B2	Regular	World Languages, English Language Arts, Health	None
2022-12-16	True	A2	Regular	Computer Science, Social Studies, Technology	None
2022-12-17	False	None	None	None	None
2022-12-18	False	None	None	None	None
2022-12-19	True	B	Regular	Science	None
2022-12-20	True	A1	Regular	Science	None
2022-12-21	True	B1	Conference	World Languages, English Language Arts, Health	Department Meeting
2022-12-22	True	A2	Regular	Mathematics, Music, Art	None
2022-12-23	True	B2	Regular	Computer Science, Social Studies, Technology	None
2022-12-24	False	None	None	None	None
2022-12-25	False	None	None	None	None
2022-12-26	False	None	None	None	Winter Recess
2022-12-27	False	None	None	None	Winter Recess
2022-12-28	False	None	None	None	Winter Recess
2022-12-29	False	None	None	None	Winter Recess
2022-12-30	False	None	None	None	Winter Recess
2022-12-31	False	None	None	None	None
2023-01-01	False	None	None	None	None
2023-01-02	False	None	None	None	Winter Recess
2023-01-03	True	A1	Homeroom	None	None
2023-01-04	True	B1	Regular	Science	None
2023-01-05	True	A2	Regular	Mathematics, Music, Art, Technology	None
2023-01-06	True	B2	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2023-01-07	False	None	None	None	None
2023-01-08	False	None	None	None	None
2023-01-09	True	A	Regular	Science	None
2023-01-10	True	B1	Regular	Science	None
2023-01-11	True	A1	Regular	World Languages, English Language Arts, Health	None
2023-01-12	True	B2	Regular	Mathematics, Music, Art	None
2023-01-13	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-01-14	False	None	None	None	None
2023-01-15	False	None	None	None	None
2023-01-16	False	None	None	None	Martin Luther King Jr. Day
2023-01-17	True	B	Regular	Science	In class finals
2023-01-18	True	A1	Regular	World Languages, English Language Arts, Health	In class finals
2023-01-19	True	B1	Regular	Mathematics, Music, Art	In class finals
2023-01-20	True	A2	Regular	Computer Science, Social Studies, Technology	In class finals
2023-01-21	False	None	None	None	None
2023-01-22	False	None	None	None	None
2023-01-23	True	A	Regular	Makeup finals	End of MP3
2023-01-24	True	B1	Regular	Regents Exams, Uniform Final Exams	ELA: 9:15 am, Living Environment: 1:15 pm
2023-01-25	True	A1	Regular	Regents Exams, Uniform Final Exams	Geometry: 9:15 am, Algebra 1: 1:15 pm, Physics: 1:15 pm
2023-01-26	True	B2	Regular	Regents Exams, Uniform Final Exams	Global History: 9:15 am, Algebra 2: 1:15 pm
2023-01-27	True	A2	Regular	Regents Exams, Uniform Final Exams	Chemistry: 9:15 am, Academic Screener (Senior Grades)
2023-01-28	False	None	None	None	None
2023-01-29	False	None	None	None	None
2023-01-30	False	None	None	None	Professional Development
2023-01-31	True	A1	Regular	None	None
2023-02-01	True	B1	Regular	None	None
2023-02-02	True	A2	Regular	None	None
2023-02-03	True	B2	Regular	None	Grades due 8 am
2023-02-04	False	None	None	None	None
2023-02-05	False	None	None	None	None
2023-02-06	True	A	Regular	Science	None
2023-02-07	True	B1	Homeroom	Science	Report Cards
2023-02-08	True	A1	Conference	World Languages, English Language Arts, Health	Faculty Meeting
2023-02-09	True	B2	Regular	Mathematics, Music, Art	None
2023-02-10	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-02-11	False	None	None	None	None
2023-02-12	False	None	None	None	None
2023-02-13	True	B	Regular	Science	None
2023-02-14	True	A1	Homeroom	Science	None
